n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
861,682286.8,6822.868,682.2868,0.6822868,682286.8,6822.868,682.2868,0.6822868,3.0023377E-05,5.479359E-03,0.682444,682.444
871,690248.4,6902.484,690.24835,0.69024837,690248.4,6902.484,690.24835,0.69024837,3.4668257E-05,5.8879755E-03,0.689677,689.677
881,717576.44,7175.7646,717.5764,0.71757644,717576.44,7175.7646,717.5764,0.71757644,8.5277265E-05,9.234569E-03,0.715912,715.912
891,743249.9,7432.499,743.2499,0.7432499,743249.9,7432.499,743.2499,0.7432499,1.8331004E-04,1.3539203E-02,0.738804,738.80396
901,763381.7,7633.8164,763.38165,0.76338166,763381.7,7633.8164,763.38165,0.76338166,5.67576E-05,7.533764E-03,0.762535,762.535
911,793059.9,7930.5986,793.0599,0.7930599,793059.9,7930.5986,793.0599,0.7930599,1.1634179E-04,1.0786185E-02,0.78959,789.59
921,819138.44,8191.385,819.1385,0.81913847,819138.44,8191.385,819.1385,0.81913847,1.0805791E-04,1.0395091E-02,0.816521,816.521
931,816611.0,8166.11,816.61096,0.816611,816611.0,8166.11,816.61096,0.816611,4.3673757E-05,6.6086124E-03,0.81669,816.69
941,831059.6,8310.597,831.05963,0.83105963,831059.6,8310.597,831.05963,0.83105963,3.873986E-05,6.2241354E-03,0.829814,829.814
951,868771.5,8687.715,868.7715,0.8687715,868771.5,8687.715,868.7715,0.8687715,3.1191026E-05,5.584893E-03,0.868954,868.954
961,873043.25,8730.433,873.0432,0.87304324,873043.25,8730.433,873.0432,0.87304324,6.0326263E-05,7.7669984E-03,0.872928,872.92804
971,887717.7,8877.177,887.71765,0.88771766,887717.7,8877.177,887.71765,0.88771766,3.0639734E-05,5.535317E-03,0.886854,886.854
981,887219.2,8872.192,887.2192,0.8872192,887219.2,8872.192,887.2192,0.8872192,6.928548E-05,8.3237905E-03,0.885567,885.567
991,947753.8,9477.538,947.7538,0.9477538,947753.8,9477.538,947.7538,0.9477538,5.1651736E-05,7.1869143E-03,0.947428,947.428
1001,956824.9,9568.249,956.8249,0.9568249,956824.9,9568.249,956.8249,0.9568249,2.6095924E-05,5.108417E-03,0.956677,956.677
1011,991194.56,9911.945,991.1945,0.99119455,991194.56,9911.945,991.1945,0.99119455,1.869048E-05,4.3232488E-03,0.99094,990.94
1021,1018055.2,10180.552,1018.0552,1.0180552,1018055.2,10180.552,1018.0552,1.0180552,5.9559377E-04,2.440479E-02,1.013206,1013.206
1031,1018583.2,10185.832,1018.5832,1.0185832,1018583.2,10185.832,1018.5832,1.0185832,4.3536853E-05,6.5982463E-03,1.017809,1017.809
1041,1058920.0,10589.2,1058.92,1.05892,1058920.0,10589.2,1058.92,1.05892,2.4218469E-05,4.9212263E-03,1.059481,1059.4811
1051,1052263.3,10522.633,1052.2633,1.0522633,1052263.3,10522.633,1052.2633,1.0522633,2.2171509E-05,4.708663E-03,1.052636,1052.636
1061,1104921.8,11049.217,1104.9218,1.1049217,1104921.8,11049.217,1104.9218,1.1049217,3.0974716E-05,5.5654934E-03,1.105063,1105.063
1071,1085800.5,10858.005,1085.8005,1.0858005,1085800.5,10858.005,1085.8005,1.0858005,3.6949197E-05,6.078585E-03,1.085776,1085.776
1081,1130189.3,11301.893,1130.1893,1.1301893,1130189.3,11301.893,1130.1893,1.1301893,1.0907103E-04,1.0443708E-02,1.127292,1127.292
1091,1186404.6,11864.046,1186.4045,1.1864046,1186404.6,11864.046,1186.4045,1.1864046,4.0233735E-05,6.3430066E-03,1.184906,1184.906
1101,1186360.3,11863.603,1186.3602,1.1863602,1186360.3,11863.603,1186.3602,1.1863602,4.0681407E-05,6.3781976E-03,1.186871,1186.8711
1111,1222799.3,12227.993,1222.7993,1.2227993,1222799.3,12227.993,1222.7993,1.2227993,6.245637E-05,7.902934E-03,1.221295,1221.295
1121,1243054.6,12430.546,1243.0547,1.2430546,1243054.6,12430.546,1243.0547,1.2430546,3.3801443E-05,5.813901E-03,1.243173,1243.173
1131,1288675.9,12886.759,1288.6759,1.2886759,1288675.9,12886.759,1288.6759,1.2886759,4.377277E-05,6.6160993E-03,1.290636,1290.636
1141,1294747.0,12947.47,1294.747,1.294747,1294747.0,12947.47,1294.747,1.294747,5.6070836E-05,7.4880463E-03,1.294217,1294.217
1151,1301652.5,13016.525,1301.6526,1.3016526,1301652.5,13016.525,1301.6526,1.3016526,3.391953E-05,5.8240476E-03,1.301501,1301.501
1161,1341600.4,13416.004,1341.6005,1.3416004,1341600.4,13416.004,1341.6005,1.3416004,6.898453E-05,8.305693E-03,1.341923,1341.923
1171,1385873.8,13858.738,1385.8738,1.3858738,1385873.8,13858.738,1385.8738,1.3858738,8.239779E-05,9.077323E-03,1.385997,1385.9971
1181,1380798.4,13807.983,1380.7983,1.3807983,1380798.4,13807.983,1380.7983,1.3807983,1.8247118E-04,1.35081895E-02,1.37752,1377.52
1191,1407267.1,14072.671,1407.2671,1.4072671,1407267.1,14072.671,1407.2671,1.4072671,1.1716941E-04,1.0824482E-02,1.404942,1404.942
