n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
1761,484.929817026578,737.3412,7.3734117,0.73734117,7.373412E-04,737341.2,7373.4116,737.3412,0.73734117,5.118816E-05,7.15459E-03,0.736483,736.483
1751,482.17609858804,704.6887,7.0468874,0.7046887,7.046887E-04,704688.75,7046.887,704.6887,0.7046887,7.6340555E-05,8.737308E-03,0.703904,703.904
1741,479.422380149502,761.7009,7.617009,0.7617009,7.617009E-04,761700.94,7617.0093,761.7009,0.7617009,8.159143E-05,9.032798E-03,0.760662,760.66205
1731,476.668661710963,729.2405,7.2924047,0.7292405,7.292405E-04,729240.5,7292.405,729.2405,0.7292405,8.162707E-05,9.03477E-03,0.728326,728.32605
1721,473.914943272425,729.0446,7.2904463,0.7290446,7.290446E-04,729044.6,7290.4463,729.0446,0.7290446,9.458934E-05,9.725705E-03,0.727861,727.86096
1711,471.161224833887,762.14355,7.6214356,0.76214355,7.621436E-04,762143.56,7621.4355,762.14355,0.76214355,2.025136E-03,4.500151E-02,0.748987,748.987
1701,468.407506395349,730.0151,7.300151,0.7300151,7.300151E-04,730015.1,7300.151,730.0151,0.7300151,7.1500814E-05,8.455816E-03,0.727856,727.85596
1691,465.653787956811,748.14233,7.481423,0.7481423,7.481423E-04,748142.3,7481.423,748.1423,0.7481423,8.8247434E-05,9.3940105E-03,0.748502,748.502
1681,462.900069518272,688.3308,6.883308,0.68833077,6.883308E-04,688330.75,6883.3076,688.33075,0.68833077,7.8112214E-05,8.838112E-03,0.686733,686.73303
1671,460.146351079734,707.976,7.07976,0.707976,7.07976E-04,707976.0,7079.76,707.976,0.707976,9.677812E-05,9.837587E-03,0.706694,706.69403
1661,457.392632641196,707.8618,7.078618,0.7078618,7.078618E-04,707861.75,7078.6177,707.86176,0.7078618,1.1143139E-04,1.0556106E-02,0.705869,705.869
1651,454.638914202658,681.15375,6.8115373,0.6811537,6.8115373E-04,681153.7,6811.537,681.1537,0.6811537,6.653259E-05,8.156751E-03,0.680236,680.23596
1641,451.88519576412,663.8888,6.6388884,0.6638888,6.638888E-04,663888.8,6638.888,663.8888,0.6638888,9.13235E-05,9.556333E-03,0.662394,662.394
1631,449.131477325581,681.80566,6.8180566,0.6818057,6.8180566E-04,681805.7,6818.0566,681.80566,0.6818057,9.324766E-05,9.656483E-03,0.679681,679.681
1621,446.377758887043,670.5532,6.7055326,0.67055327,6.7055324E-04,670553.25,6705.5327,670.5533,0.67055327,5.2696643E-05,7.2592455E-03,0.670449,670.44904
1611,443.624040448505,662.88965,6.628896,0.6628896,6.628896E-04,662889.6,6628.896,662.8896,0.6628896,5.6184563E-05,7.495636E-03,0.661853,661.853
1601,440.870322009967,652.60913,6.5260916,0.65260917,6.5260916E-04,652609.2,6526.092,652.6092,0.65260917,6.0405273E-05,7.772083E-03,0.653904,653.904
1591,438.116603571429,632.1558,6.321558,0.6321558,6.321558E-04,632155.75,6321.5576,632.15576,0.6321558,6.765866E-05,8.2254885E-03,0.631591,631.591
1581,435.36288513289,650.98816,6.5098815,0.65098816,6.5098814E-04,650988.2,6509.882,650.98816,0.65098816,7.787626E-05,8.824753E-03,0.650684,650.684
1571,432.609166694352,701.2303,7.012303,0.7012303,7.012303E-04,701230.3,7012.3027,701.2303,0.7012303,1.4630867E-04,1.2095812E-02,0.699288,699.288
1561,429.855448255814,685.117,6.8511705,0.685117,6.8511703E-04,685117.0,6851.17,685.117,0.685117,8.804901E-05,9.383444E-03,0.684183,684.183
1551,427.101729817276,634.4931,6.3449306,0.63449305,6.344931E-04,634493.06,6344.9307,634.49304,0.63449305,5.498723E-04,2.3449356E-02,0.630292,630.292
1541,424.348011378738,598.82837,5.9882836,0.5988284,5.9882837E-04,598828.4,5988.2837,598.82837,0.5988284,9.853868E-05,9.926665E-03,0.596743,596.743
1531,421.594292940199,578.54504,5.7854505,0.57854503,5.7854503E-04,578545.06,5785.45,578.54504,0.57854503,5.9572878E-05,7.718347E-03,0.577076,577.076
1521,418.840574501661,688.1891,6.8818913,0.6881891,6.881891E-04,688189.06,6881.891,688.1891,0.6881891,6.42704E-05,8.016882E-03,0.687772,687.772
1511,416.086856063123,616.81464,6.1681466,0.6168147,6.1681465E-04,616814.7,6168.147,616.8147,0.6168147,6.970452E-05,8.348923E-03,0.616447,616.44696
1501,413.333137624585,636.0293,6.360293,0.6360293,6.360293E-04,636029.3,6360.293,636.0293,0.6360293,7.3633535E-05,8.5809985E-03,0.634825,634.825
1491,410.579419186047,623.6409,6.2364097,0.62364095,6.2364095E-04,623640.94,6236.4097,623.6409,0.62364095,4.0031216E-05,6.327023E-03,0.623376,623.37604
1481,407.825700747508,595.72095,5.9572096,0.59572095,5.9572095E-04,595720.94,5957.2095,595.72095,0.59572095,6.407658E-05,8.004785E-03,0.59438,594.38
1471,405.07198230897,589.10583,5.8910584,0.58910584,5.891058E-04,589105.9,5891.0586,589.10583,0.58910584,2.7552298E-05,5.249028E-03,0.58959,589.59
1461,402.318263870432,620.61957,6.206196,0.6206196,6.2061957E-04,620619.6,6206.196,620.61957,0.6206196,6.0021182E-05,7.747334E-03,0.61876,618.76
1451,399.564545431894,590.0927,5.9009275,0.5900927,5.9009274E-04,590092.7,5900.9272,590.0927,0.5900927,3.5498375E-05,5.9580514E-03,0.588357,588.357
1441,396.810826993355,625.92126,6.2592125,0.62592125,6.2592124E-04,625921.25,6259.2124,625.92126,0.62592125,6.825028E-05,8.261372E-03,0.622805,622.805
1431,394.057108554817,521.34863,5.213486,0.5213486,5.213486E-04,521348.6,5213.486,521.3486,0.5213486,5.0728944E-05,7.1224254E-03,0.520536,520.536
1421,391.303390116279,589.1253,5.8912535,0.58912534,5.891253E-04,589125.3,5891.2534,589.1253,0.58912534,7.0012204E-05,8.36733E-03,0.587052,587.052
1411,388.549671677741,557.52594,5.5752597,0.55752593,5.5752596E-04,557525.94,5575.2593,557.52594,0.55752593,4.4352465E-04,2.1060025E-02,0.550143,550.143
1401,385.795953239203,560.44574,5.604457,0.5604457,5.604457E-04,560445.75,5604.457,560.44574,0.5604457,4.9403774E-05,7.028782E-03,0.559857,559.857
1391,383.042234800664,581.7448,5.817448,0.58174485,5.817448E-04,581744.9,5817.4487,581.7449,0.58174485,2.8270753E-05,5.317025E-03,0.580905,580.905
1381,380.288516362126,521.4526,5.2145257,0.52145255,5.214526E-04,521452.53,5214.5254,521.4526,0.52145255,4.215007E-05,6.4923083E-03,0.520399,520.399
