n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
211,298.9448,279.5571,2.795571,0.2795571,2.795571E-04,279557.1,2795.571,279.5571,0.2795571,6.618418E-05,8.135366E-03,0.279398,279.39798,0.279398,279.39798
201,284.7768,271.6784,2.716784,0.27167842,2.716784E-04,271678.4,2716.7842,271.6784,0.27167842,3.3025513E-05,5.7467828E-03,0.271712,271.712,0.271712,271.712
191,270.6088,263.0134,2.6301339,0.2630134,2.6301338E-04,263013.4,2630.134,263.0134,0.2630134,4.4498553E-05,6.6707237E-03,0.264207,264.207,0.264207,264.20703
181,256.4408,249.78351,2.4978352,0.24978352,2.497835E-04,249783.52,2497.8352,249.78351,0.24978352,4.1101997E-05,6.411084E-03,0.249315,249.31499,0.249315,249.315
171,242.2728,241.51158,2.4151158,0.24151157,2.4151157E-04,241511.56,2415.1157,241.51157,0.24151157,3.438751E-05,5.8640866E-03,0.241071,241.071,0.241071,241.071
161,228.1048,232.37823,2.3237824,0.23237824,2.3237824E-04,232378.25,2323.7825,232.37825,0.23237824,3.0205449E-05,5.4959483E-03,0.231577,231.577,0.231577,231.577
151,213.9368,223.0511,2.230511,0.2230511,2.230511E-04,223051.1,2230.511,223.0511,0.2230511,3.4667675E-05,5.887926E-03,0.222227,222.227,0.222227,222.227
141,199.7688,210.21391,2.102139,0.21021391,2.1021391E-04,210213.92,2102.1392,210.21391,0.21021391,2.645085E-05,5.143039E-03,0.209165,209.16501,0.209165,209.16501
131,185.6008,204.80486,2.0480485,0.20480485,2.0480485E-04,204804.86,2048.0486,204.80486,0.20480485,1.2996969E-04,1.1400425E-02,0.202312,202.312,0.202312,202.31198
121,171.4328,186.37427,1.8637427,0.18637426,1.8637427E-04,186374.27,1863.7427,186.37427,0.18637426,1.4685794E-04,1.2118496E-02,0.184897,184.897,0.184897,184.897
111,157.2648,164.1505,1.6415049,0.16415049,1.641505E-04,164150.48,1641.5049,164.1505,0.16415049,4.6884914E-05,6.847256E-03,0.16597,165.97,0.16597,165.96999
101,143.0968,149.12836,1.4912837,0.14912836,1.4912836E-04,149128.36,1491.2836,149.12836,0.14912836,3.0659023E-05,5.537059E-03,0.150432,150.432,0.150432,150.432
91,128.9288,138.02443,1.3802444,0.13802443,1.3802444E-04,138024.44,1380.2444,138.02443,0.13802443,3.527322E-05,5.939126E-03,0.138508,138.50801,0.138508,138.50801
81,114.7608,121.02075,1.2102075,0.12102075,1.2102075E-04,121020.75,1210.2075,121.02075,0.12102075,5.1353603E-05,7.166143E-03,0.117512,117.512,0.117512,117.51201
71,100.5928,115.73582,1.1573582,0.11573582,1.1573582E-04,115735.82,1157.3582,115.735825,0.11573582,8.411574E-05,9.171464E-03,0.114708,114.708,0.114708,114.708
61,86.4248,89.860504,0.89860505,8.986051E-02,8.986051E-05,89860.51,898.60504,89.860504,8.986051E-02,6.1010065E-05,7.810894E-03,8.8022E-02,88.022,8.8022E-02,88.022
51,72.2568,74.46625,0.74466246,7.446624E-02,7.446625E-05,74466.24,744.6624,74.46624,7.446624E-02,5.7124293E-05,7.5580613E-03,7.3914E-02,73.914,7.3914E-02,73.914
41,58.0888,61.24142,0.61241424,6.124142E-02,6.124142E-05,61241.42,612.41425,61.24142,6.124142E-02,4.124156E-05,6.4219595E-03,6.2678E-02,62.678,6.2678E-02,62.678
31,43.9208,42.607876,0.42607877,4.2607877E-02,4.2607877E-05,42607.88,426.07877,42.607876,4.2607877E-02,3.390641E-05,5.822921E-03,4.171E-02,41.71,4.171E-02,41.710003
21,29.7528,29.167536,0.29167536,2.9167535E-02,2.9167535E-05,29167.535,291.67535,29.167534,2.9167535E-02,2.8995024E-05,5.3847027E-03,2.6678E-02,26.678,2.6678E-02,26.678
11,15.5848,22.6978,0.22697799,2.2697799E-02,2.2697799E-05,22697.799,226.97798,22.6978,2.2697799E-02,3.1052958E-05,5.572518E-03,1.9828E-02,19.828,1.9828E-02,19.828
1,1.4168,1.4168,1.4168001E-02,1.4168001E-03,1.4168E-06,1416.8,14.168001,1.4168,1.4168001E-03,6.9428765E-08,2.634934E-04,1.311E-03,1.311,1.311E-03,1.311
