n,m,each1e6,meanX1000, each, mean, variance, stdDev
1941,400.726801295681,5.5066025E+02,550.66025000,5.5066025E-04,0.55066025,1.2314583E-04,1.1097109E-02
1951,402.791339169435,5.183858E+02,518.38577000,5.183858E-04,0.51838577,2.2019065E-04,1.4838822E-02
1961,404.855877043189,5.372096E+02,537.20963000,5.372096E-04,0.53720963,1.4745863E-04,1.2143254E-02
1971,406.920414916943,5.462603E+02,546.2603000,5.462603E-04,0.5462603,1.4537924E-04,1.2057331E-02
1981,408.984952790697,5.3504086E+02,535.04086000,5.3504086E-04,0.53504086,1.093893E-04,1.0458934E-02
1991,411.049490664451,5.617227E+02,561.72276000,5.617227E-04,0.56172276,4.4837265E-04,2.117481E-02
2001,413.114028538205,5.454063E+02,545.4063000,5.454063E-04,0.5454063,1.05881896E-04,1.0289893E-02
2011,415.17856641196,5.4967747E+02,549.6775000,5.4967747E-04,0.5496775,1.3759661E-04,1.1730158E-02
2021,417.243104285714,5.6866894E+02,568.66896000,5.6866894E-04,0.56866896,9.308405E-05,9.648007E-03
2031,419.307642159468,5.792389E+02,579.23895000,5.792389E-04,0.57923895,1.4109728E-04,1.1878437E-02
2041,421.372180033222,5.432215E+02,543.2215000,5.432215E-04,0.5432215,1.9883078E-04,1.4100737E-02
2051,423.436717906976,5.5837544E+02,558.3754000,5.5837544E-04,0.5583754,7.216538E-05,8.495021E-03
2061,425.50125578073,5.6517974E+02,565.17977000,5.6517974E-04,0.56517977,1.1521156E-04,1.0733665E-02
2071,427.565793654484,5.6890125E+02,568.90124000,5.6890125E-04,0.56890124,8.307421E-05,9.114506E-03
2081,429.630331528239,5.8703404E+02,587.03405000,5.8703404E-04,0.58703405,1.3342914E-04,1.1551154E-02
2091,431.694869401993,5.839248E+02,583.92483000,5.839248E-04,0.58392483,1.5237638E-04,1.2344083E-02
2101,433.759407275747,5.8417686E+02,584.17684000,5.8417686E-04,0.58417684,1.2141607E-04,1.10188965E-02
2111,435.823945149501,5.8062765E+02,580.6276000,5.8062765E-04,0.5806276,1.2621949E-04,1.1234744E-02
2121,437.888483023255,6.054462E+02,605.4462000,6.054462E-04,0.6054462,9.2404814E-05,9.612742E-03
2131,439.953020897009,5.7865906E+02,578.65906000,5.7865906E-04,0.57865906,1.0441342E-04,1.0218289E-02
2141,442.017558770764,5.688291E+02,568.8291000,5.688291E-04,0.5688291,9.1676244E-05,9.574771E-03
2151,444.082096644518,6.1950454E+02,619.5046000,6.1950454E-04,0.6195046,8.4848594E-05,9.21133E-03
2161,446.146634518272,6.2402233E+02,624.0223000,6.2402233E-04,0.6240223,1.1727815E-03,3.4245897E-02
2171,448.211172392026,6.183627E+02,618.36267000,6.183627E-04,0.61836267,1.4035472E-04,1.1847139E-02
2181,450.27571026578,5.818103E+02,581.8103000,5.818103E-04,0.5818103,1.254642E-04,1.120108E-02
2191,452.340248139534,5.9984234E+02,599.84237000,5.9984234E-04,0.59984237,9.836233E-05,9.917779E-03
2201,454.404786013288,6.229604E+02,622.9604000,6.229604E-04,0.6229604,1.6865913E-04,1.2986883E-02
2211,456.469323887043,6.682384E+02,668.2384000,6.682384E-04,0.6682384,1.2012578E-04,1.0960191E-02
