n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
490,5620.2955,2770.558,1735.0302,17.350302,1.73503,1.7350301E-03,867515.0,8675.15,867.515,0.867515,1.2930261E-04,1.1371131E-02,0.865891,865.891,1.731782,1731.782
489,5636.0638,2764.9038,1739.3219,17.393219,1.7393218,1.7393219E-03,869660.94,8696.609,869.6609,0.8696609,2.4993366E-04,1.580929E-02,0.868562,868.562,1.737124,1737.1239
488,5626.9250,2759.2496,1736.8347,17.368347,1.7368348,1.7368348E-03,868417.4,8684.174,868.41736,0.8684174,1.8554085E-04,1.3621338E-02,0.866321,866.32104,1.732642,1732.6421
487,5657.1808,2753.5954,1745.0674,17.450674,1.7450675,1.7450674E-03,872533.75,8725.337,872.53375,0.87253374,2.7410474E-04,1.6556108E-02,0.868308,868.308,1.736616,1736.616
486,5598.9514,2747.9412,1729.2189,17.292189,1.7292188,1.7292189E-03,864609.44,8646.094,864.60944,0.8646094,2.462671E-04,1.5692899E-02,0.861335,861.33496,1.72267,1722.6699
485,5591.2257,2742.287,1727.1149,17.271149,1.7271149,1.7271149E-03,863557.44,8635.574,863.55743,0.86355746,2.2660298E-04,1.5053337E-02,0.861616,861.616,1.723232,1723.2319
484,5582.220,2736.6328,1724.662,17.24662,1.7246621,1.724662E-03,862331.06,8623.311,862.33105,0.86233103,1.5053275E-04,1.2269179E-02,0.858875,858.875,1.71775,1717.75
483,5582.8646,2730.9786,1724.8375,17.248375,1.7248374,1.7248375E-03,862418.7,8624.1875,862.4187,0.8624187,1.9127982E-04,1.38303945E-02,0.861596,861.596,1.723192,1723.1919
482,5566.5281,2725.3244,1720.3867,17.203867,1.7203866,1.7203867E-03,860193.3,8601.934,860.1933,0.8601933,1.9499606E-04,1.3964099E-02,0.859369,859.36896,1.718738,1718.738
481,5547.5121,2719.6702,1715.2042,17.152042,1.7152042,1.7152042E-03,857602.1,8576.021,857.6021,0.8576021,2.1037985E-04,1.4504476E-02,0.853384,853.38403,1.706768,1706.7681
480,5526.4067,2714.016,1709.4501,17.0945,1.70945,1.70945E-03,854725.0,8547.25,854.725,0.854725,1.4960527E-04,1.2231323E-02,0.852438,852.438,1.704876,1704.876
479,5522.8329,2708.3618,1708.4755,17.084755,1.7084754,1.7084754E-03,854237.7,8542.377,854.2377,0.8542377,1.6677844E-04,1.2914273E-02,0.853366,853.366,1.706732,1706.732
478,5531.1277,2702.7076,1710.7374,17.107374,1.7107375,1.7107375E-03,855368.75,8553.6875,855.3687,0.85536873,1.7564654E-04,1.3253171E-02,0.85219,852.19,1.70438,1704.38
477,5513.5333,2697.0534,1705.9392,17.059391,1.7059392,1.7059392E-03,852969.56,8529.696,852.9696,0.8529696,1.5440772E-04,1.242609E-02,0.84856,848.56,1.69712,1697.1199
476,5519.245,2691.3992,1707.497,17.07497,1.7074969,1.7074969E-03,853748.44,8537.484,853.7484,0.85374844,2.4614073E-04,1.5688872E-02,0.851558,851.55804,1.703116,1703.1161
475,5509.9027,2685.745,1704.9489,17.049488,1.7049488,1.7049488E-03,852474.4,8524.744,852.47437,0.8524744,2.2648061E-04,1.5049273E-02,0.849976,849.976,1.699952,1699.952
474,5535.1140,2680.0908,1711.8243,17.118244,1.7118243,1.7118243E-03,855912.1,8559.121,855.9122,0.85591215,2.4183535E-04,1.5551057E-02,0.851403,851.403,1.702806,1702.806
