n,each1e6,meanX1000, each, mean, variance, stdDev
1361,3.751705E+02,187.58525000,3.751705E-04,0.18758525,5.1684703E-05,7.1892072E-03
1371,3.797509E+02,189.87545000,3.797509E-04,0.18987545,1.9548821E-05,4.421405E-03
1381,3.4539707E+02,172.69854000,3.4539707E-04,0.17269854,2.5382518E-05,5.038107E-03
1391,3.7645883E+02,188.22941000,3.7645883E-04,0.18822941,2.1326992E-05,4.6181157E-03
1401,3.791464E+02,189.5732000,3.791464E-04,0.1895732,1.2277755E-05,3.5039627E-03
1411,3.7586602E+02,187.93301000,3.7586602E-04,0.18793301,2.5568397E-05,5.0565205E-03
1421,3.9535583E+02,197.67791000,3.9535583E-04,0.19767791,2.2142136E-05,4.705543E-03
1431,3.7373847E+02,186.86923000,3.7373847E-04,0.18686923,2.2665268E-05,4.7608055E-03
1441,3.7550836E+02,187.75418000,3.7550836E-04,0.18775418,2.3485542E-05,4.8461882E-03
1451,3.909817E+02,195.49085000,3.909817E-04,0.19549085,1.698139E-05,4.120848E-03
1461,3.914312E+02,195.7156000,3.914312E-04,0.1957156,1.7260842E-05,4.154617E-03
1471,3.874747E+02,193.73734000,3.874747E-04,0.19373734,1.5268644E-05,3.9075115E-03
1481,4.1152703E+02,205.76352000,4.1152703E-04,0.20576352,4.189409E-05,6.4725643E-03
1491,4.0725915E+02,203.62958000,4.0725915E-04,0.20362958,1.7981178E-05,4.240422E-03
1501,4.376269E+02,218.81345000,4.376269E-04,0.21881345,2.60369E-04,1.6135953E-02
1511,4.190239E+02,209.51195000,4.190239E-04,0.20951195,5.0553757E-05,7.1101165E-03
1521,4.4361205E+02,221.80602000,4.4361205E-04,0.22180602,4.173959E-05,6.460618E-03
1531,3.9377768E+02,196.88883000,3.9377768E-04,0.19688883,3.9773302E-05,6.3066077E-03
1541,4.1913448E+02,209.56723000,4.1913448E-04,0.20956723,4.485255E-05,6.6972044E-03
1551,4.0529686E+02,202.64843000,4.0529686E-04,0.20264843,3.7853384E-05,6.15251E-03
1561,4.7297843E+02,236.4892000,4.7297843E-04,0.2364892,4.018805E-05,6.3394047E-03
1571,4.4716842E+02,223.5842000,4.4716842E-04,0.2235842,6.4880835E-05,8.054864E-03
1581,4.5612518E+02,228.06258000,4.5612518E-04,0.22806258,4.4912216E-05,6.7016575E-03
1591,4.3336183E+02,216.68091000,4.3336183E-04,0.21668091,3.4485976E-05,5.8724764E-03
1601,4.3490602E+02,217.453000,4.3490602E-04,0.217453,4.0302642E-05,6.348436E-03
1611,4.3658123E+02,218.29061000,4.3658123E-04,0.21829061,2.9906883E-05,5.4687187E-03
1621,4.467906E+02,223.3953000,4.467906E-04,0.2233953,3.5784833E-05,5.9820428E-03
1631,4.3775383E+02,218.87691000,4.3775383E-04,0.21887691,3.8107817E-05,6.173153E-03
1641,4.2897539E+02,214.48769000,4.2897539E-04,0.21448769,3.6583097E-05,6.048396E-03
1651,4.453081E+02,222.65406000,4.453081E-04,0.22265406,5.30068E-05,7.280577E-03
1661,4.733834E+02,236.6917000,4.733834E-04,0.2366917,6.2497544E-05,7.905539E-03
1671,4.812635E+02,240.63174000,4.812635E-04,0.24063174,4.054442E-05,6.36745E-03
1681,4.5169544E+02,225.84772000,4.5169544E-04,0.22584772,1.017683E-04,1.0088027E-02
1691,4.952068E+02,247.6034000,4.952068E-04,0.2476034,5.659143E-05,7.522728E-03
1701,4.8333564E+02,241.66782000,4.8333564E-04,0.24166782,7.424542E-05,8.616578E-03
1711,5.0463417E+02,252.31707000,5.0463417E-04,0.25231707,5.6532055E-05,7.51878E-03
1721,4.8731244E+02,243.65622000,4.8731244E-04,0.24365622,5.2684314E-05,7.258396E-03
1731,4.988621E+02,249.43106000,4.988621E-04,0.24943106,6.716504E-05,8.195428E-03
1741,5.2125927E+02,260.62962000,5.2125927E-04,0.26062962,4.6200414E-05,6.797089E-03
1751,4.4824343E+02,224.12172000,4.4824343E-04,0.22412172,6.3512125E-05,7.969449E-03
