n,each1e6,each,mean, meanOriginal, variance, stdDev
1961,1003.047,0.0010030,1003.0468000,1.0030468,1.81783E-04,1.3482693E-02
1971,1026.882,0.0010269,1026.8817000,1.0268817,1.2896628E-04,1.1356332E-02
1981,1073.106,0.0010731,1073.1063000,1.0731063,1.6857467E-04,1.298363E-02
1991,1047.433,0.0010474,1047.4334000,1.0474334,1.34156E-04,1.1582573E-02
2001,1051.024,0.0010510,1051.0238000,1.0510238,1.5224653E-04,1.2338822E-02
2011,1115.264,0.0011153,1115.2635000,1.1152635,1.8363068E-03,4.285215E-02
2021,1061.026,0.0010610,1061.0257000,1.0610257,3.0555844E-04,1.748023E-02
2031,1083.941,0.0010839,1083.9412000,1.0839412,5.2082696E-04,2.2821633E-02
2041,1080.452,0.0010805,1080.4516000,1.0804516,6.3277245E-04,2.5154969E-02
2051,1132.181,0.0011322,1132.1814000,1.1321814,5.9850124E-04,2.4464285E-02
2061,1143.537,0.0011435,1143.5372000,1.1435372,1.2875341E-03,3.5882227E-02
2071,1133.645,0.0011336,1133.6446000,1.1336446,6.8417843E-04,2.6156805E-02
2081,1129.290,0.0011293,1129.2902000,1.1292902,6.39106E-04,2.5280545E-02
2091,1132.003,0.0011320,1132.0025000,1.1320025,1.1964305E-03,3.458946E-02
2101,1131.634,0.0011316,1131.6335000,1.1316335,7.833044E-04,2.7987575E-02
2111,1122.536,0.0011225,1122.5361000,1.1225361,5.0580257E-04,2.2490054E-02
2121,1146.017,0.0011460,1146.0171000,1.1460171,6.162317E-04,2.4824014E-02
2131,1161.881,0.0011619,1161.8805000,1.1618805,7.8322826E-04,2.7986215E-02
2141,1164.123,0.0011641,1164.1229000,1.1641229,4.855235E-04,2.2034597E-02
2151,1162.624,0.0011626,1162.6244000,1.1626244,7.5520074E-04,2.7480915E-02
2161,1174.853,0.0011749,1174.8534000,1.1748534,7.832347E-04,2.798633E-02
2171,1175.938,0.0011759,1175.9375000,1.1759375,8.279728E-04,2.8774517E-02
2181,1189.781,0.0011898,1189.7806000,1.1897806,1.5434171E-03,3.928635E-02
2191,1219.922,0.0012199,1219.9215000,1.2199215,9.05279E-04,3.0087855E-02
2201,1223.305,0.0012233,1223.3045000,1.2233045,9.243105E-04,3.0402474E-02
2211,1225.083,0.0012251,1225.0832000,1.2250832,1.0139889E-03,3.1843193E-02
2221,1239.299,0.001239,1239.299000,1.239299,9.589409E-04,3.096677E-02
2231,1208.479,0.0012085,1208.4794000,1.2084794,9.07736E-04,3.0128658E-02
2241,1260.255,0.0012603,1260.2546000,1.2602546,1.1459715E-03,3.38522E-02
