n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
861,4834.4002287,2840.1243,28.401243,2.8401244,2.8401243E-03,2840124.3,28401.244,2840.1243,2.8401244,1.7012821E-03,4.12466E-02,2.834407,2834.407,2.834407,2834.4072
851,4778.2515617,2803.5242,28.035242,2.8035243,2.8035243E-03,2803524.3,28035.242,2803.5242,2.8035243,1.9831615E-04,1.40824765E-02,2.800573,2800.573,2.800573,2800.5732
841,4722.1028947,2786.2217,27.862217,2.7862217,2.7862217E-03,2786221.8,27862.217,2786.2217,2.7862217,6.054935E-04,2.4606777E-02,2.778842,2778.842,2.778842,2778.8418
831,4665.9542277,2772.4314,27.724314,2.7724314,2.7724314E-03,2772431.3,27724.314,2772.4314,2.7724314,9.59754E-04,3.0979896E-02,2.779566,2779.5662,2.779566,2779.566
821,4609.8055607,2708.3057,27.083055,2.7083056,2.7083056E-03,2708305.5,27083.057,2708.3057,2.7083056,1.3205911E-03,3.633994E-02,2.700055,2700.055,2.700055,2700.0547
811,4553.6568937,2722.45,27.2245,2.72245,2.72245E-03,2722450.0,27224.5,2722.45,2.72245,4.5265397E-03,6.727956E-02,2.701346,2701.346,2.701346,2701.346
801,4497.5082267,2646.1892,26.461891,2.6461892,2.6461892E-03,2646189.3,26461.893,2646.1892,2.6461892,8.768513E-04,2.9611675E-02,2.637698,2637.698,2.637698,2637.6978
791,4441.3595597,2669.5105,26.695105,2.6695104,2.6695104E-03,2669510.3,26695.104,2669.5103,2.6695104,7.495925E-03,8.657901E-02,2.644919,2644.919,2.644919,2644.919
781,4385.2108927,2633.363,26.33363,2.633363,2.633363E-03,2633363.0,26333.63,2633.363,2.633363,2.7946753E-03,5.286469E-02,2.617032,2617.032,2.617032,2617.032
771,4329.0622257,2581.8245,25.818245,2.5818245,2.5818245E-03,2581824.5,25818.246,2581.8245,2.5818245,6.1632865E-03,7.8506604E-02,2.565828,2565.8281,2.565828,2565.8281
761,4272.9135587,2581.3396,25.813396,2.5813396,2.5813396E-03,2581339.5,25813.396,2581.3396,2.5813396,1.4696495E-02,0.1212291,2.538554,2538.554,2.538554,2538.554
751,4216.7648917,60477.555,604.7756,60.477554,6.0477555E-02,6.0477556E+07,604775.56,60477.555,60.477554,68015.914,260.7986,2.509511,2509.511,2.509511,2509.511
741,4160.6162247,2632.1665,26.321665,2.6321664,2.6321665E-03,2632166.5,26321.664,2632.1665,2.6321664,0.22423834,0.4735381,2.479268,2479.268,2.479268,2479.268
731,4104.4675577,2458.49,24.5849,2.45849,2.45849E-03,2458490.0,24584.898,2458.49,2.45849,2.2030856E-02,0.14842795,2.406866,2406.866,2.406866,2406.866
721,4048.3188907,2467.321,24.67321,2.467321,2.467321E-03,2467321.0,24673.209,2467.3208,2.467321,2.137512E-02,0.14620233,2.413011,2413.011,2.413011,2413.0112
